"Table S2.Detailed statistic information of the training, test and true external sets in the Rat-QSTR models  ",,,,,,,,,,,,,
Rat-QSTR Model,Compound Information,,,,Rat-QSTR Model-Descriptor Value,,,,,Predicted Activity by  Rat-QSTR,,Model's AD,
Dataset grouping,No.,CID,Status,Exp. endpoint,AATSC7i,CATS2D_08_DL,ChiA_X,F06[C-N],P_VSA_charge_10,Predicted endpoint,Residual,HAT i/i (h*=0.3529),
,151,249587,True external,-,-0.106106058845759,0,0.996751197559381,0,9.18476976608839,2.0225,-,0.0354,Good
,152,250502,True external,-,0.0929125094414545,0,0.99658563592231,0,23.5422039931806,2.9023,-,0.1106,Good
,153,250547,True external,-,-0.322082596045387,0,0.995415314168964,0,0,1.9402,-,0.1427,Good
,154,250551,True external,-,-0.22915585744612,0,0.997527610719462,0,9.18476976608839,1.8736,-,0.0556,Good
,155,250555,True external,-,0.0260812589157254,0,0.997975538692005,0,28.8563957213453,2.8921,-,0.1575,Good
,156,251065,True external,-,0.370279673187894,0,0.992164720643999,0,0,2.4491,-,0.6589,Good
,157,251436,True external,-,-0.2170143436937,0,0.995669477132996,0,0,1.7979,-,0.0991,Good
,158,253605,True external,-,-0.055927881852738,0,0.997548027270431,0,9.18476976608839,1.7561,-,0.0328,Good
,159,256605,True external,-,-0.230150199045966,0,0.995144995826583,4,9.18476976608839,2.8773,-,0.1955,Good
,160,256610,True external,-,-0.39441461030566,0,0.996483514781064,0,0,1.673,-,0.1197,Good
,161,257484,True external,-,-0.207623258521101,0,0.997334120620548,0,19.6716259552569,2.6173,-,0.0892,Good
,162,263041,True external,-,-0.298187117937612,0,0.995658610996961,1,2.75674755352504,2.1133,-,0.1175,Good
,163,284612,True external,-,0.163189464821147,0,0.995448207259404,0,0,1.6181,-,0.1236,Good
,164,286191,True external,-,-0.153998924384928,0,0.996798164499423,6,16.0003512962185,2.9497,-,0.1812,Good
,165,302442,True external,-,-0.0121047764331847,0,0.995238775909268,0,0,1.7925,-,0.1128,Good
,166,303184,True external,-,0.0200614506219804,0,0.996814661691018,4,2.32792015631003,1.7677,-,0.1022,Good
,167,313795,True external,-,0.0880408262294429,0,0.997223095263058,0,0,1.1452,-,0.0502,Good
,168,316224,True external,-,0.282204492367894,0,0.993681900416221,0,8.42900304532428,2.6234,-,0.3417,Good
,169,344285,True external,-,0.340543693160391,0,0.993511291303235,0,6.3711499014801,2.4985,-,0.3913,Good
,170,347524,True external,-,-0.104927418072846,0,0.996009240752407,0,0,1.6259,-,0.0665,Good
,171,359018,True external,-,0.100704393961,0,0.995191458443652,0,0,1.7337,-,0.1293,Good
,172,359066,True external,-,-0.255747621061426,0,0.995701168760374,4,0,2.1167,-,0.1803,Good
,173,359096,True external,-,-0.224244080233266,4,0.997753323851168,2,0,1.7735,-,0.1048,Good
,174,392070,True external,-,0.0483168738165553,0,0.995651807814018,6,0,2.0871,-,0.2564,Good
,175,393210,True external,-,-0.212898433757479,0,0.994615698586594,0,0,2.1047,-,0.1834,Good
